"NR","NR collegato","Relazione","Sala mostra","Didascalia","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"Vetrina 5 basso","","","5","Botroidi, concrezioni arenacee la cui forma richiama oggetti, animali, o vegetali 
 The botroids are sandstone concrections, their shape reminds of objects, animals and vegetables. 
 Rio delle Meraviglie (Bologna)","","Specimen","","Specimen","botroidi","","Botroidi","Botroids","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto N - 1","","","5","Bufo sp., rospo 
 true toad","","Specimen","","Specimen","rospo","","Rospo (Bufo sp.)","True toad (within the genus Bufo)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto N - 1 - t","Vetrina 6 alto N - 1","rappresenta","5","Tavoletta con bufo","","Calco","","Calco","rospo","","Tavoletta con bufo","True toad tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto N - 2","","","5","Cordylus sp., lucertola
  girdled lizards","","Specimen","","Specimen","lucertola","","Lucertola (Cordylus sp.)","Girdled lizards (within the genus Cordylus)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto N - 2 - t","Vetrina 6 alto N - 2","rappresenta","5","Tavoletta con lucertola","","Calco","","Calco","lucertola","","Tavoletta con lucertola","Lizard tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto S - 1","","","5","Chamaeleo chamaeleon (Linnaeus, 1758), camaleonte europeo 
 European cameleon","","Specimen","","Specimen","camaleonte","","Chamaeleo chamaeleon (Linnaeus, 1758)","European cameleon (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto S - 2","","","5","Scincus sp., scinco, o pesce delle sabbie 
 Sandfish","","Specimen","","Specimen","pesce","","Pesce delle sabbie  (Scincus sp.)","Sandfish (within the genus Scincus)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto S - 2 - t","Vetrina 6 alto S - 2","","5","Tavoletta con pesce","","Artefatto","","Artefatto","pesce","","Tavoletta con pesce","Fish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 alto S - 3","","","5","Draco sp., drago volante
 Lined flying dragon","","Specimen","","Specimen","drago","","Drago volante (Draco sp.)","Lined flying dragon (within the genus Draco)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 basso - 1","","","5","Preparati zoologici, scapola di balena
 Zoological samples, whale shoulder blade","","Specimen","","Specimen","balena","","Preparati zoologici, scapola di balena","Zoological samples, whale shoulder blade","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 basso - 2","","","5","Preparati zoologici, scheletro di delfino
 Zoological samples, incomplete dolphin skeleton","","Specimen","","Specimen","delfino","","Preparati zoologici, scheletro di delfino"," Zoological samples, incomplete dolphin skeleton","","","","","","","","","","","","","","","","","","","",""
"Vetrina 6 basso - 2 - t","Vetrina 6 basso - 2","rappresenta","5","Tavoletta con delfino","","Artefatto","","Artefatto","delfino","","Tavoletta con delfino","Dolphin tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto N - 1","","","5","Peristedion cataphractum (Linnaeus, 1758), pesci forca 
 Gurnards","","Specimen","","Specimen","pesce","","Peristedion cataphractum (Linnaeus, 1758)","Gurnards (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto N - 1 - t","Vetrina 7 alto N - 1","rappresenta","5","Tavoletta con pesce forca","","Artefatto","","Artefatto","pesce","","Tavoletta con pesce forca","Seal tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto N - 2","","","5","Lactoria cornuta (Linnaeus, 1758), pesci scatola
 Horned boxfish","","Specimen","","Specimen","pesce","","Lactoria cornuta (Linnaeus, 1758)","Horned boxfish (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto S - 1","","","5","Xiphias sp., pesci spada
 Swordfish","","Specimen","","Specimen","pesce spada","","Pesci spada (Xiphias sp.)","Swordfish (within the genus Xiphias)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto S - 1 - t","Vetrina 7 alto S - 1","rappresenta","5","Tavoletta con pesce spada","","Artefatto","","Artefatto","pesce spada","","Tavoletta con pesce spada","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto S - 2","","","5","Agonus cataphractus (Linnaeus, 1758), sorcio di mare
 Hooknose","","Specimen","","Specimen","sorcio di mare","","Agonus cataphractus (Linnaeus, 1758)","Hooknose (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto S - 3","","","5","Dactylopterus volitans (Linnaeus, 1758), pesce volante
 Flying fish","","Specimen","","Specimen","pesce volante","","Dactylopterus volitans (Linnaeus, 1758)","Flying fish (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 7 alto S - 3 - t","Vetrina 7 alto S - 3","rappresenta","5","Tavoletta con pesce volante","","Artefatto","","Artefatto","pesce volante","","Tavoletta con pesce volante","Flying fish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 basso","","","5","Preparati zoologici, pesci palla
 Zoological samples, puffers","","Specimen","","Specimen","pesce palla","","Preparati zoologici, pesci palla","Zoological samples, puffers","","","","","","","","","","","","","","","","","","","",""
"Vetrina 7 basso - t","Vetrina 7 basso","rappresenta","5","Tavoletta con pesce palla","","Artefatto","","Artefatto","pesce palla","","Tavoletta con pesce palla","Puffer tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto N - 1","","","5","Taurulus bubalis (Euphrasen, 1758), scazzone marino
 Long-spined bullhead","","Specimen","","Specimen","scazzone marino","","Taurulus bubalis (Euphrasen, 1758)","Long-spined bullhead (Euphrasen, 1758)","","Euphrasén, Bengt Anders (VIAF:120776829)","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto N - 2","","","5","Lophius piscatorius (Linnaeus, 1758), rana pescatrice
 Monkfish","","Specimen","","Specimen","rana pescatrice","","Lophius piscatorius (Linnaeus, 1758)","Monkfish (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto N - 3","","","5","Apparato dentale di pesce cartilagineo (Elasmobrnchii) 
 Dental apparatus of a cartilaginous fish (Elasmobranchii)","","Specimen","","Specimen","pesce","","Apparato dentale di pesce cartilagineo (Elasmobrnchii)","Dental apparatus of a cartilaginous fish (Elasmobranchii)","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto N - 3 - t","Vetrina 8 alto N - 3","rappresenta","5","Tavoletta con bocca","","Artefatto","","Artefatto","pesce","","Tavoletta con bocca","Mouth tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 1","","","5","Rhinobatos rhinobatos (Linnaeus, 1758), pesce chitarra
 Guitarfish","","Specimen","","Specimen","pesce chitarra","","Rhinobatos rhinobatos (Linnaeus, 1758)","Guitarfish (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 1 - t","Vetrina 8 alto S - 1","rappresenta","5","Tavoletta con pesce chitarra","","Artefatto","","Artefatto","pesce chitarra","","Tavoletta con pesce chitarra","Guitarfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 2","","","5","Lamna nasus (Bonnaterre, 1788), smeriglio 
 Porbeagle","","Specimen","","Specimen","smeriglio","","Lamna nasus (Bonnaterre, 1788)","Porbeagle (Bonnaterre, 1788)","","Bonnaterre, Pierre-Joseph (VIAF:56729257)","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 2 - t","Vetrina 8 alto S - 2","rappresenta","5","Tavoletta con smeriglio","","Artefatto","","Artefatto","smeriglio","","Tavoletta con smeriglio","Mackerel tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 3","","","5","Lophius piscatorius (Linnaeus, 1758), rana pescatrice
 Monkfish","","Specimen","","Specimen","rana pescatrice","","Lophius piscatorius (Linnaeus, 1758)","Monkfish (Linnaeus, 1758)","","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","","","","","","",""
"Vetrina 8 alto S - 3 - t","Vetrina 8 alto S - 3","rappresenta","5","Tavoletta con rana pescatrice","","Artefatto","","Artefatto","rana pescatrice","","Tavoletta con rana pescatrice","Monkfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 1","","","5","Preparati zoologici, pescecane
 Zoological samples, shark","","Specimen","","Specimen","pesce cane","","Preparati zoologici, pescecane","Zoological samples, shark","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 2","","","5","Preparati zoologici, pesce sega
 Zoological samples, swordfish","","Specimen","","Specimen","pesce sega","","Preparati zoologici, pesce sega","Zoological samples, swordfish","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 2 - t1","Vetrina 8 basso - 2","rappresenta","5","Tavoletta con pesce sega","","Artefatto","","Artefatto","pesce sega","","Tavoletta con pesce sega","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 2 - t2","Vetrina 8 basso - 2","rappresenta","5","Tavoletta con pesce sega","","Artefatto","","Artefatto","pesce sega","","Tavoletta con pesce sega","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 2 - t3","Vetrina 8 basso - 2","rappresenta","5","Tavoletta con pesce sega","","Artefatto","","Artefatto","pesce sega","","Tavoletta con pesce sega","Swordfish tablet","","","","","","","","","","","","","","","","","","","",""
"Vetrina 8 basso - 3","","","5","Preparati zoologici, squalo martello
 Zoological samples, hammerhead shark","","Specimen","","Specimen","squalo martello","","Preparati zoologici, squalo martello","Zoological samples, hammerhead shark","","","","","","","","","","","","","","","","","","","",""
"s.n.","","","5","Busto di Ulisse Aldrovandi
 Bust of Ulisse Aldrovandi
 Anonimo/ Anonymous, 1881 ca.
 Marmo bianco / White marble","","Statua","Scultura","Statua","Ulisse Aldrovandi","Busto di Ulisse Aldrovandi @ita","Busto di Ulisse Aldrovandi","Bust of Ulisse Aldrovandi","1881","","","","","","","","","","","","","","","","","","",""
"57","","","5","Polpo
 Octopus
 in 
 Ippolito Salviani, Aquatilium animalium historiae, Roma, Ippolito Salviani, 1554
 BUB, A.V.Tab.III.I.I.9","","Stampa","Stampa tipografica","Volume a stampa","polpo","Polpo @ita","Polpo","Octopus","1554","","Salviani, Ippolito (VIAF:5271279)","","","","Salviani, Ippolito (VIAF:5271279)","Roma","","","Volume a stampa","Aquatilium animalium historiae","","","BUB","Bologna","A.V.Tab.III.I.I.9","","",""
"62","","","5","Isole della Grecia
 Greek islands
 in 
 Benedetto Bordon, Isolario Venezia, Federico Torresano, 1547 
 BUB, A.IV.P.I.14/2bis","","Stampa","Stampa tipografica","Volume a stampa","Grecia; isole","Isole della Grecia @ita","Isole della Grecia","Greek islands","1547","","Bordon, Benedetto (VIAF:67854568)","","","","Torresano, Federico (VIAF:29921615)","Venezia","","","Volume a stampa","Isolario","","","BUB","Bologna","A.IV.P.I.14/2bis","","",""
"63","","","5","Gufo
 Owl
 in 
 Pierre Belon, L’Histoire de la nature des oiseaux, Parigi, Gilles Corrozet e Benoit Prevost, 1555
 BUB, A.IV.H.I.57","","Stampa","Stampa tipografica","Volume a stampa","gufo","Gufo @ita","Gufo","Owl","1555","","Belon, Pierre (VIAF:12291805)","","","","Corrozet, Gilles (VIAF:39386621); Prévost, Benoît (VIAF:49333645)","Parigi","","","Volume a stampa","L’Histoire de la nature des oiseaux","","","BUB","Bologna","A.IV.H.I.57","","",""
"64","","","5","Polifemo
 Polyphemus
 In 
 Ovidius Naso Publius, Metamorphoseos libri XV, Venezia, Giovanni Tacuino, 1536
 BUB, A.V.R.VI.1/1","","Stampa","Stampa tipografica","Volume a stampa","Polifemo","Polifemo @ita","Polifemo","Polyphemus","1536","","Ovidius Naso, Publius (VIAF:88342447)","","","","Tacuino, Giovanni (VIAF:100177277)","Venezia","","","Volume a stampa","Metamorphoseos libri XV","13","","BUB","Bologna","A.V.R.VI.1/1","","",""
"66","","","5","Vipera
 Viper
 in 
 Baldo Angelo Abati, De admirabili viperae natura, Urbino, Bartolomeo Ragusi, 1589
 BUB, A.IV.D.IX.13","","Stampa","Stampa tipografica","Volume a stampa","vipera","Vipera @ita","Vipera","Viper","1589","","Abati, Baldo Angelo (VIAF:189070892)","","","","Ragusi, Bartolomeo (VIAF:161572299)","Urbino","","","Volume a stampa","De admirabili viperae natura","","","BUB","Bologna","A.IV.D.IX.13","","",""
"68","","","5","Ricostruzione del naso, metodo italiano
 Italian method for the reconstruction of the nose
 in 
 Gaspare Tagliacozzi, De curtorum chirurgia, Venezia, Gaspare Bindoni, 1597
 BUB A.IV.E.II.23","","Stampa","Stampa tipografica","Stampa","naso","Ricostruzione del naso, metodo italiano @ita","Ricostruzione del naso, metodo italiano","Italian method for the reconstruction of the nose","1597","","Tagliacozzi, Gaspare (VIAF:59436362)","","","","Bindoni, Gaspare (VIAF:99884281)","Venezia","","","Volume a stampa","De curtorum chirurgia","","","BUB","Bologna","A.IV.E.II.23","http://aldrovandi.dfc.unibo.it/pinakesweb/UlisseAldrovandi_catalogomanoscritti2.asp?Pag=4&macrofamilyid=&comptypeid=&objtypeid=1","",""
"M1","","","5","Ulisse Aldrovandi
 Adnotationes variae praesertim de animalibus
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi, 21/1, carte 12v-13r","","Volume manoscritto","Scrittura","Volume manoscritto","","Adnotationes variae praesertim de animalibus @lat","Adnotationes variae praesertim de animalibus","Various Annotations, Especially About Animals","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","Volume manoscritto","Ms. Aldrovandi","21/1","","BUB","Bologna","Ms. Aldrovandi, 21/1, carte 12v-13r","","",""
"M2","","","5","Ulisse Aldrovandi 
 Vulgata proverbia (Libro dei proverbi)
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 27, carte 24v-25r","","Volume manoscritto","Scrittura","Volume manoscritto","","Vulgata proverbia @lat","Vulgata proverbia","Vulgate Proverbs","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","Volume manoscritto","Ms. Aldrovandi","27","","BUB","Bologna","Ms. Aldrovandi 27, carte 24v-25r","","",""
"M3","","","5","Ulisse Aldrovandi
 Pandechion epistemonicon
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 105, carte 263v-264r","","Volume manoscritto","Scrittura","Volume manoscritto","","Pandechion epistemonicon @gre","Pandechion epistemonicon","Pandechion of knowledge","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","105","","BUB","Bologna","Ms. Aldrovandi 105, carte 263v-264r","","",""
"M4","","","5","Ulisse Aldrovandi 
 Lexicon rerum inanimatarum
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 96/5, carte 297v-298r","","Volume manoscritto","Scrittura","Volume manoscritto","","Lexicon rerum inanimatarum @lat","Lexicon rerum inanimatarum","Lexicon of Inanimate Things","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","96/5","","BUB","Bologna","Ms. Aldrovandi 96/5, carte 297v-298r","","",""
"M5","","","5","Ulisse Aldrovandi
 Bibliotheca secundum nomina authorum (Catalogo della biblioteca)
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 147, carte 152v-153r[AM1]","","Volume manoscritto","Scrittura","Volume manoscritto","","Bibliotheca secundum nomina authorum @lat","Bibliotheca secundum nomina authorum","Library according to the names of the authors","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","147","","BUB","Bologna","Ms. Aldrovandi 147, carte 152v-153r","","",""
"M6","","","5","Ulisse Aldrovandi
 Theatrum biblicum naturale
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 54/2, carta 211","","Volume manoscritto","Scrittura","Volume manoscritto","","Theatrum biblicum naturale @lat","Theatrum biblicum naturale","Natural biblical theater","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","54/2","","BUB","Bologna","Ms. Aldrovandi 54/2, carta 211","","",""
"M7","","","5","Libro dei visitatori  
 Visitors book 
 Ulisse Aldrovandi, Catalogus virorum qui visitarunt Museaum nostrum
 sec. XVI - 16th century
  BUB, Ms. Aldrovandi 110, carta 52r","","Volume manoscritto","Scrittura","Volume manoscritto","","Catalogus virorum qui visitarunt Museaum nostrum @lat","Catalogus virorum qui visitarunt Museaum nostrum","Catalog of the men who visited our Museum","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","110","","BUB","Bologna","Ms. Aldrovandi 110, carta 52r","","",""
"M8","","","5","Discorso naturale di Ulisse Aldrovandi philosopho et medico
 In Ulisse Aldrovandi, De lucentibus et aliis
 sec. XVI - 16th century
 BUB, Ms. Aldrovandi 91, c. 503","","Volume manoscritto","Scrittura","Volume manoscritto","","Discorso naturale di Ulisse Aldrovandi philosopho et medico @ita","Discorso naturale di Ulisse Aldrovandi philosopho et medico","Discourse on nature of Ulisse Aldrovandi, Philosopher and Medician","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","","Ms. Aldrovandi","91","","BUB","Bologna","Ms. Aldrovandi 91, c. 503","","",""
"74a","","","6","Linum usitatissimum L.
 Modello di Lino, manifattura Brendel, Berlino 
 Model of Flax Brendel company, Berlin
 fine sec. XIX late 19th century.
 Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","Modello","Scultura","Modello","lino; fiore","Linum usitatissimum L. @lat","Linum usitatissimum L.","Common flax","1800-1899","Linné, Carl von (VIAF:34594730)","Antica manifattura Robert Brendel e figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74b","","","6","Orchis morio L. 
 Modello di Giglio caprino, manifattura Brendel, Berlino
 Model of green-winged orchid, Brendel company, Berlin
 fine sec. XIX late 19th century.
 Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","Modello","Scultura","Modello","giglio; fiore","Orchis morio L. @lat","Orchis morio L. ","Green-winged orchid","1800-1899","Linné, Carl von (VIAF:34594730)","Antica manifattura Robert Brendel e figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74c","","","6","Butomus umbellatus L.
 Modello di Giunco fiorito, manifattura Brendel, Berlino
 Model of Flowering rushB rendel company, Berlin
 fine sec. XIX late 19th century.
 Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","Modello","Scultura","Modello","giunco; fiore","Butomus umbellatus L. @lat","Butomus umbellatus L.","Flowering rush","1800-1899","Linné, Carl von (VIAF:34594730)","Antica manifattura Robert Brendel e figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74d","","","6","Daphne mezereum L. 
 Modello di Fior di stecco, manifattura Brendel, Berlino
 Model of Spurge laurel, Brendel company, Berlin
 fine sec. XIX late 19th century.
 Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","Modello","Scultura","Modello","fior di stecco; fiore","Daphne mezereum L. @lat","Daphne mezereum L. ","Mezereon","1800-1899","Linné, Carl von (VIAF:34594730)","Antica manifattura Robert Brendel e figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"74e","","","6","Primula veris L. 
 Modello di Primula odorosa, manifattura Brendel, Berlino 
 Model of Cowslip, Brendel company, Berlin
 fine sec. XIX late 19th century.
 Bologna, Orto Botanico ed Erbario, Sistema Museale di Ateneo","","Modello","Scultura","Modello","primula; fiore","Primula veris L. @lat","Primula veris L. ","Common cowslip","1800-1899","Linné, Carl von (VIAF:34594730)","Antica manifattura Robert Brendel e figli","","","","","Berlino","","","","","","","Orto Botanico ed Erbario di Bologna","Bologna","","","",""
"75","","","6","Marcello Malpighi
  Anatome plantarum
 Londra, John Martin, 1675 
 Bologna, Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Fondo storico Bertoloni[AM1]","","Volume a stampa","Stampa tipografica","Volume a stampa","","Anatome plantarum @lat","Anatome plantarum","The Anatomy of Plants","1675","","Malpighi, Marcello (VIAF:85044)","","","","Martyn, John (VIAF:161542773)","Londra","","","","","","Fondo storico Bertoloni","Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Bologna","Bologna","","","",""
"76","","","6","Assitra, overo arbore di S. Tomaso
 in 
 Jacopo Zanoni, Istoria botanica 
 Bologna, Giuseppe Longhi, 1675
 BUB, A.IV.F.VI.3","","Stampa","Stampa tipografica","Stampa","fiore","Assitra, overo arbore di S. Tomaso @ita","Assitra, overo arbore di S. Tomaso","Assitra, also known as St. Thomas Tree","1675","","Zanoni, Giacomo (VIAF:100212301)","","","","Longhi, Giuseppe","Bologna","","","Volume a stampa","Istoria botanica","","","BUB","Bologna","A.IV.F.VI.3","","",""
"77","","","6","Panthera tigris (Linnaeus, 1758) Preparato a secco[AM2]  di scheletro di tigre
 Dried tiger skeleton  
 sec. XXI 21st century
 Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","Specimen","Essiccatura","Specimen","tigre; scheletro","","Panthera tigris (Linnaeus, 1758)","Tiger","2000-2023","Linné, Carl von (VIAF:34594730)","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"78","","","6","Nautilio gioiellato
 in Jacopo Tosi,  Testacei, cioè nicchi chioccioe e conchiglie
 sec. XVII
 BUB, Ms. 4312, carta 17","","Manoscritto miniato","","Manoscritto miniato","nautilio","Nautilio gioiellato @ita","Nautilio gioiellato","Bejeweled nautilus","1600-1699","","Tosi, Jacopo","","","","","","","","Volume a stampa","Testacei, cioè nicchi chioccioe e conchiglie","","","BUB","Bologna","Ms. 4312, carta 17","","",""
"79","","","6","Lophophorus impejanus (Lapham, 1790) 
 Esemplare tassidermizzato di Lofoforo splendido
 Taxidermized specimen of Himalayan monal
 Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","Specimen","Tassidermia","Specimen","lofoforo","","Lophophorus impejanus (Lapham, 1790)","Himalayan monal (Lapham, 1790)","","Latham, John (VIAF:69237380)","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"80","","","6","Pellicano (Onocrotalus) 
BUB, Ms. Aldrovandi, Tavole di animali, vol.2, carta 40","","Tavola manoscritta","Disegno","Tavola manoscritta","pellicano","Pellicano (Onocrotalus) @ita","Pellicano (Onocrotalus) ","Pelican (Onocrotalus) ","1500-1599","","Aldrovandi, Ulisse (VIAF:100190422)","","","","","","","","Volume a stampa","Tavole di animali","2","","","","","","",""
"81","","","6","Coccodrillo americano
 American crocodile 
 in 
 Albert Seba, Locupletissimi rerum naturalium thesauri accurata descriptio
 Amsterdam, Janssonius van Waesberge, Wetstein e Smith, 1734
 BUB, A.IV.I.I.6/1","","Volume a stampa","Stampa tipografica","Volume a stampa","coccodrillo","Coccodrillo americano @ita","Coccodrillo americano","American crocodile","1734","","Seba, Albertus (VIAF:5113867)","","","","Officina Janssonio-Waesbergiana (VIAF:122386779)","Amsterdam","","","Volume a stampa","Locupletissimi rerum naturalium thesauri accurata descriptio","","","BUB","Bologna","A.IV.I.I.6/1","","",""
"82","","","6","Cornua Arietis speciosa
 Caprone
 Billy goat
 in 
 Luigi Ferdinando Marsili, Danubius Pannonico-Mysicus,L’Aia, Alberts Rutgert Christoffel, 1726 BUB, A.M.B.I.23/6","","Volume a stampa","Stampa tipografica","Volume a stampa","caprone","Cornua Arietis speciosa @lat","Cornua Arietis speciosa","Billy goat horns","1726","","Marsili, Luigi Ferdinando (VIAF:27075563)","","","","Alberts, Rutgert Christoffel (VIAF:380159474187327661769)","L'Aia","","","Volume a stampa","Danubius Pannonico-Mysicus","","","BUB","Bologna","A.M.B.I.23/6","","",""
"83","","","6","Modello in legno policromo di Balena della Groenlandia
 Polychrome wooden model of a Bowhead whale
 sec. XVIII 18th century
 Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","Modello","Scultura","Modello","balena","Modello in legno policromo di Balena della Groenlandia @ita","Modello in legno policromo di Balena della Groenlandia","Polychrome wooden model of a Bowhead whale","1700-1799","","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"84","","","6","Preparato a secco di testa, collo, torace e diaframma di cavallo
 Dried specimen of head, neck, thorax and diaphragm
 1885
 Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","Modello","Essiccatura","Modello","cavallo","","Preparato a secco di testa, collo, torace e diaframma di cavallo","Dried specimen of head, neck, thorax and diaphragm","1885","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"85","","","6","Preparato in liquido di feto di tre mesi di cavallo
 Three-months horse foetus in preservative liquid
 Ozzano dell'Emilia, Collezione di Anatomia Patologica e Teratologia Veterinaria, Sistema Museale di Ateneo","","Specimen","","Specimen","feto; cavallo","","Preparato in liquido di feto di tre mesi di cavallo","Three-months horse foetus in preservative liquid","","","","","","","","","","","","","","Collezione di Anatomia Patologica e Teratologia Veterinaria","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"86","","","6","Teste di cavallo
 Horses’ heads 
 in 
 Carlo Ruini, De l’anatomia e dell’infirmità del cavallo
 Bologna, Giovanni Rossi eredi, 1598 
 BUB, A.IV.E.II.12","","Volume a stampa","Stampa tipografica","Volume a stampa","cavallo; testa","Teste di cavallo @ita","Teste di cavallo","Horses’ heads","1598","","Ruini, Carlo (VIAF:72336611)","","","","Giovanni Rossi eredi (VIAF:121294051)","Bologna","","","Volume a stampa","De l’anatomia e dell’infirmità del cavallo","","","BUB","Bologna","A.IV.E.II.12","","",""
"87","","","6","Feto bovino, intestino
 Intestine of a bovine foetus 
 sec. XIX – 19th century
  
 Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","Specimen","","Specimen","feto; bovino","","Feto bovino, intestino","Intestine of a bovine foetus","1800-1899","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"88","","","6","Elefante, intestino crasso
 Elephant, large intestine 
 sec. XIX – 19th century[AM3] 
  
 Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","Specimen","","Specimen","elefante; intestino","","Elefante, intestino crasso","Elephant, large intestine","1800-1899","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
