"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"81","","","6","Coccodrillo americano\n American crocodile\n In Albert Seba, Locupletissimi rerum naturalium thesauri accurata descriptio\n Amsterdam, Janssonius Van Waesberge, Wetstein e Smith, 1734\n BUB, A.iv.i.i.6/1","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","coccodrillo [crocodile]","Coccodrillo americano @ita","Coccodrillo americano","American crocodile","1734","","Albertus Seba (viaf:5113867)","","","","Officina Janssonio-Waesbergiana (viaf:122386779)","Amsterdam","","","Volume A Stampa","Locupletissimi rerum naturalium thesauri accurata descriptio","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.i.i.6/1","","",""
"82","","","6","Cornua arietis speciosa\n Caprone\n Billy goat\n In Luigi Ferdinando Marsili, Danubius pannonico-mysicus, L’Aia, Alberts Rutgert Christoffel, 1726\n BUB, A.m.b.i.23/6","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","caprone [billy goat]","Cornua arietis speciosa @lat","Cornua arietis speciosa","Billy goat horns","1726","","Luigi Ferdinando Marsili (viaf:27075563)","","","","Rutgert Christoffel Alberts (viaf:380159474187327661769)","L'Aia","","","Volume A Stampa","Danubius pannonico-mysicus","","","Biblioteca Universitaria di Bologna","Bologna","A.m.b.i.23/6","","",""
"83","","","6","Modello in legno policromo di balena della Groenlandia\n Polychrome wooden model of a bowhead whale\n Sec. XVIII\n 18th century\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Modello","Scultura","Modello","balena [whale]","Modello in legno policromo di balena della Groenlandia @ita","Modello in legno policromo di balena della Groenlandia","Polychrome wooden model of a bowhead whale","1700-1799","","","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"84","","","6","Preparato a secco di testa, collo, torace e diaframma di cavallo\n Dried specimen of head, neck, thorax and diaphragm\n 1885\n Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","","Modello","Essiccatura","Modello","cavallo [horse]","","Preparato a secco di testa, collo, torace e diaframma di cavallo","Dried specimen of head, neck, thorax and diaphragm","1885","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"85","","","6","Preparato in liquido di feto di tre mesi di cavallo\n Three-months horse foetus in preservative liquid\n Ozzano dell'Emilia, Collezione di Anatomia Patologica e Teratologia Veterinaria, Sistema Museale di Ateneo","","","Specimen","","Specimen","feto [fetus]; cavallo [horse]","","Preparato in liquido di feto di tre mesi di cavallo","Three-months horse foetus in preservative liquid","","","","","","","","","","","","","","Collezione di Anatomia Patologica e Teratologia Veterinaria “Alessandrini - Ercolani”","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"86","","","6","Teste di cavallo\n Horses’ heads\n In Carlo Ruini, De l'anatomia e dell’infirmità del cavallo\n Bologna, Giovanni Rossi Eredi, 1598\n BUB, A.iv.e.ii.12","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","cavallo [horse]; testa [head]","Teste di cavallo @ita","Teste di cavallo","Horses’ heads","1598","","Carlo Ruini (viaf:72336611)","","","","Giovanni Rossi Eredi (viaf:121294051)","Bologna","","","Volume A Stampa","De l’anatomia e dell’infirmità del cavallo","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.e.ii.12","","",""
"87","","","6","Feto bovino, intestino\n Intestine of a bovine foetus\n Sec. XIX – 19th century\n Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","","Specimen","","Specimen","feto [fetus]; bovino [bovine]","","Feto bovino, intestino","Intestine of a bovine foetus","1800-1899","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"88","","","6","Elefante, intestino crasso\n Elephant, large intestine\n Sec. XIX – 19th century[am3]\n Ozzano dell'Emilia, Collezione di Anatomia degli Animali Domestici, Sistema Museale di Ateneo","","","Specimen","","Specimen","elefante [elephant]; intestino [intestine]","","Elefante, intestino crasso","Elephant, large intestine","1800-1899","","","","","","","","","","","","","Collezione di Anatomia degli Animali Domestici","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"89","","","6","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari\n Luigi Galvani making experiments with the electrostatic machine with his family present\n Antonio Muzzi, 1862\n Olio su tavola\n Oil on panel\n Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Dipinto","Olio Su Tela","Dipinto","Luigi Galvani [Luigi Galvani]; macchina elettrostatica [electrostatic machine]","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari @ita","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari","Luigi Galvani making experiments with the electrostatic machine with his family present","1862","","Antonio Muzzi (ulan:500094135)","","Antonio Muzzi (ulan:500094135)","","","","","","","","","","Museo di Palazzo Poggi","Bologna","","","",""
"90","","","6","Modello in cera di diverse pappresentazioni di patologie oculari\n Wax model of different eye pahtologies\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","occhi [eyes]","Modello in cera di diverse rappresentazioni di patologie oculari @ita","Modello in cera di diverse rappresentazioni di patologie oculari","Wax model of different eye pathologies","1700-1899","","","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"91","","","6","Modello in cera raffigurante l’organo della vista\n Wax model of the sensory organ for sight\n Clemente Susini\n Sec. XVIII – 18th century\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","occhi [eyes]","Modello in cera raffigurante l’organo della vista @ita","Modello in cera raffigurante l’organo della vista","Wax model of the sensory organ for sight","1700-1799","","Clemente Susini (viaf:41419242)","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"92","","","6","Modello in cera di fasi della vaccinazione contro il vaiolo\n Wax model of the different stages of the smallpox vaccination\n Giuseppe Astorri, 1822, Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","vaccino [vaccine]; vaiolo [smallpox]","Modello in cera di fasi della vaccinazione contro il vaiolo","Modello in cera di fasi della vaccinazione contro il vaiolo","Wax model of the different stages of the smallpox vaccination","1822","","Giuseppe Astorri","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"93","","","6","Busto di donna con la pellagra\n Bust of a woman with pellagra\n Giuseppe Astorri, sec. XIX – 19th century\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","","Modello","donna [woman]; pellagra [pellagra]","Busto di donna con la pellagra @ita","Busto di donna con la pellagra","Bust of a woman with pellagra","1800-1899","","Giuseppe Astorri","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"94","","","6","Preparazione in cera dell’arto inferiore\n Wax model of lower limb\n Clemente Susini, cec. XVIII – 18th century\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","gamba [leg]","Preparazione in cera dell’arto inferiore @ita","Preparazione in cera dell’arto inferiore","Wax model of lower limb","1700-1799","","Clemente Susini (viaf:41419242)","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"95","","","6","Braccio amputato a seguito di un incidente in fase di dissezione anatomica del primo direttore del Museo di Anatomia Comparata, professor Antonio Alessandrini\n Amputated arm belonging to the first director of the Museum of Comparate Anatomy, Professor Antonio Alessandrini. The arm had to be amputed following an accident during a dissection\n Bologna, Collezione di Anatomia Comparata, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","braccio [arm]","","Braccio amputato a seguito di un incidente in fase di dissezione anatomica del primo direttore del Museo di Anatomia Comparata, professor Antonio Alessandrini","Amputated arm belonging to the first director of the Museum of Comparate Anatomy, professor Antonio Alessandrini. The arm had to be amputed following an accident during a dissection","1851","","","","","","","","","","","","","Collezione di Anatomia Comparata","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"96","","","6","Microscopio\n Microscope","","","Microscopio","","Microscopio","","","Microscopio","Microscope","","","","","","","","","","","","","","","","","","","",""
"97","","","6","Sezione anatomica di busto umano\n Anatomical section of human torso\n In Leopoldo Marco Antonio Caldani, Icones anatomicae\n Venezia, Giuseppe Picotti, 1801-1814\n BUB, A.v.ii.bancone E.i.7","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","busto [torso]","Sezione anatomica di busto umano @ita","Sezione anatomica di busto umano","Anatomical section of human torso","1801-1814","","Leopoldo Marco Antonio Caldani (viaf:46775522)","","","","Giuseppe Picotti","Venezia","","","Volume A Stampa","Icones anatomicae","","","Biblioteca Universitaria di Bologna","Bologna","A.v.ii.bancone E.i.7","","",""
"98","","","6","Ricostruzioni plastiche sul vivente. Da sinistra a destra: boscimano Ai-hum Maschio, boscimano Kung femmina, boscimano Ai-hum femmina\n Living masks. From left to right: Ai-hum male, Kung female, Ai-hum female\n Lidio Cipriani\n Sec. XX – 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Modello","","Modello","testa [head]","Ricostruzioni plastiche dul vivente. Da sinistra a destra: boscimano Ai-hum maschio, boscimano Kung femmina, boscimano Ai-hum femmina @ita","Ricostruzioni plastiche sul vivente. Da sinistra a destra: boscimano Ai-hum maschio, boscimano Kung femmina, boscimano Ai-hum femmina","Living masks. From left to right: Ai-hum male, Kung female, Ai-hum female","1900-1962","","Lidio Cipriani (viaf:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"99","","","6","Ricostruzioni plastiche sul vivente, cinese maschio\n Living masks, Chinese male\n Lidio Cipriani, sec. XX – 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Modello","","Modello","testa [head]","Ricostruzioni plastiche sul vivente, cinese maschio @ita","Ricostruzioni plastiche sul vivente, cinese maschio","Living masks, Chinese male","1900-1962","","Lidio Cipriani (viaf:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"100","","","6","Ricostruzioni plastiche sul vivente, sardo maschio\n Living masks, Sardinian male\n Lidio Cipriani, sec. XX – 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Modello","","Modello","testa [head]","Ricostruzioni plastiche sul vivente, sardo maschio @ita","Ricostruzioni plastiche sul vivente, sardo maschio","Living masks, Sardinian male","1900-1962","","Lidio Cipriani (viaf:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"101","","","6","Calco in gesso di capo tasmaniano (Oceania)\n Plaster model of a Tasmanian chief\n M. Eydoux, sec. XX – 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Calco","","Calco","testa [head]","Calco in gesso di capo tasmaniano @ita","Calco in gesso di capo tasmaniano","Plaster model of a Tasmanian chief","1900-1999","","","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"102","","","6","Calco in gesso di donna dschagga (Kenia)\n Plaster model of a Dschagga woman (Kenia)\n M. Eydoux, sec. XX – 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Calco","","Calco","testa [head]","Calco in gesso di donna dschagga @ita","Calco in gesso di donna dschagga","Plaster model of a Dschagga woman","1900-1999","","","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"103","","","6","Tavola dei colori degli occhi di R. Martin\n Eye colour chart by R. Martin\n P. Hermann (Zurich)\n Inizio sec. XX\n Early 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Modello","","Modello","occhi [eyes]","Tavola dei colori degli occhi di R. Martin @ita","Tavola dei colori degli occhi di R. Martin","Eye colour chart by R. Martin","1900-1930","Rudolf Martin (viaf:57414035)","","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"104","","","6","Compasso a branche ricurve con estremità arrotondate\n Curved branch compass with rounded ends\n Inizio sec. XX\n Early 20th century\n Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","","Compasso","","Compasso","","","Compasso a branche ricurve con estremità arrotondate","Curved branch compass with rounded ends","1900-1930","","","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"105","","","6","Crani dalla Collezione di Luigi Calori\n Skulls from Luigi Calori’s collection\n Bologna, Dipartimento di Scienze Biomediche e Neuromotorie","","","Specimen","","Specimen","testa [head]","","Crani dalla Collezione di Luigi Calori","Skulls from Luigi Calori’s collection","1807-1896","","","","","","","","","","","","","Collezione di Luigi Calori","Dipartimento di Scienze Biomediche e Neuromotorie di Bologna","Bologna","","","",""
"106","","","6","Modello frenologico in cera\n Phrenology model in wax\n Giuseppe Astorri\n Sec. XIX – 19th century\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","testa [head]","Modello frenologico in cera @ita","Modello frenologico in cera","Phrenology model in wax","1800-1852","","Giuseppe Astorri","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"107","","","6","Studio sull’encefalo di un africano, di Luigi Calori (modello in cera)\n Study on the encephalon of an African, by Luigi Calori (wax model)\n Sec. XIX - 19th century\n Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","testa [head]","Studio sull’encefalo di un africano @ita","Studio sull’encefalo di un africano","Study on the encephalon of an African","1807-1896","","Luigi Calori (viaf:26266127)","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"108","","","6","Galeorhinus cuvieri (Agassiz, 1835)\n Squalo dal monte Bolca (Verona)\n Shark from Bolca (Verona, Italy)\n Eocene (48 Ma)\n Bologna, Collezione di Geologia ""Museo Giovanni Capellini"", Sistema Museale di Ateneo","","","Specimen","","Specimen","squalo [shark]","","Galeorhinus cuvieri (Agassiz, 1835)","Shark from Bolca","-48000000","Louis Agassiz (viaf:14832040)","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"109","","","6","Aepyornis maximus (Geoffroy Saint-Hilaire, 1851)\n Uovo di uccello elefante, Madagascar\n Egg ratite bird from Madagascar\n Quaternario, 1000 d.C.-1000 A.D., Bologna, Collezione di Geologia ""Museo Giovanni Capellini"", Sistema Museale di Ateneo","","","Specimen","","Specimen","uovo [egg]","","Aepyornis maximus","Elephant bird","1000","Étienne Geoffroy-Saint-Hilaire (viaf:39377694)","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"110","","","6","Arietites sp.\n Ammonite, località indeterminata\n Ammonite, undetermined locality\n Giurassico inferiore – Lower Jurassic (190 Ma)\n Bologna, Collezione di Geologia ""Museo Giovanni Capellini"", Sistema Museale di Ateneo","","","Specimen","","Specimen","mollusco [mollusk]","","Ammonite (Arietites sp.)","Ammonite (within the genus Arietites)","-190000000","","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"111","","","6","Cambropallas telesto (Geyer, 1993)\n Trilobite, impronta e controimpronta. Regione di Erfoud (Marocco)\n Trilobite, two halves from the Erfoud region (Morocco)\n Cambriano inferiore - Lower Cambrian (540 Ma)\n Bologna, Collezione di Geologia “Museo Giovanni Capellini”, Sistema Museale di Ateneo","","","Specimen","","Specimen","trilobite [trilobite]","","Cambropallas telesto (Geyer, 1993)","Trilobite, two halves from the Erfoud region","-540000000","David Geyer (viaf:35241248)","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"112","","","6","Arctinurus boltoni (Bigsby, 1825)\n Trilobite, raccolta da G. Capellini nel 1863 a Lockport (New York, USA)\n Trilobite, collected by G. Capellini in 1863 at Lockport (New York, USA)\n Siluriano - Silurian (420 Ma)\n Bologna, Collezione di Geologia “Museo Giovanni Capellini”, Sistema Museale di Ateneo","","","Specimen","","Specimen","trilobite [trilobite]","","Arctinurus boltoni (Bigsby, 1825)","Trilobite","-420000000","John Jeremiah Bigsby (viaf:40160164) ; Giovanni Capellini (viaf:69232941)","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"113","","","6","Dalmanites sp.\n Trilobite, raccolta da G. Capellini nel 1863 a Lockport (New York, USA)\n Trilobite, collected by G. Capellini in 1863 at Lockport (New York, USA)\n Siluriano - Silurian (420 Ma)\n Bologna, Collezione di Geologia “Museo Giovanni Capellini”, Sistema Museale di Ateneo","","","Specimen","","Specimen","trilobite [trilobite]","","Trilobite (Dalmanites sp.)","Trilobite (within the genus Dalmanites)","-420000000","Giovanni Capellini (viaf:69232941)","","","","","","","","","","","","Collezione di Geologia ""Museo Giovanni Capellini""","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"114","","","6","Bottiglia di Leida\n Leyden jar\n Collezione cowper\n Sec. XVIII\n 18th century\n Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Bottiglia","","Bottiglia","materiale elettrico [electric material]","","Bottiglia di Leida","Leyden jar","1700-1799","","","","","","","","","","","","","","Museo di Palazzo Poggi","Bologna","","","",""
"115","","","6","Macchina elettrostatica di Ramsden\n Ramsden elctrostatic machine\n Collezione Cowper\n Sec. XVIII\n 18th century\n Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Macchina Elettrostatica","","Macchina Elettrostatica","materiale elettrico [electric material]","","Macchina elettrostatica di Ramsden","Ramsden electrostatic machine","1700-1799","","","","","","","","","","","","","","Museo di Palazzo Poggi","Bologna","","","",""
"116","","","6","Arco Scaricatore\n Arc Discharger\n Sec. XVIII\n 18th century\n Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Arco Scaricatore","","Arco Scaricatore","materiale elettrico [electric material]","","Arco scaricatore","Arc discharger","1700-1799","","","","","","","","","","","","","","Museo di Palazzo Poggi","Bologna","","","",""
"117","","","6","Attrezzatura fotografica del prof. Fabio Frassetto","","","Strumento Tecnico","","","fotografia [photography]; equipaggiamento [equipment]","","Attrezzatura fotografica del prof. Fabio Frassetto","Photographic equipment of prof. Fabio Frassetto","1876-1953","","","","","","","","","","","","","","","","","","",""
