"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"33","","","2","Lodoicea maldivica (J. F. Gmel.)\n Pers. seme di coco de mer\n Seed of sea coconut\n sec. XVI\n 16th century\n Bologna, Collezione Ulisse Aldrovandi, Museo di Palazzo Poggi[am7] [smf8] [am9], Sistema Museale di Ateneo","","","Specimen","Essiccatura","Specimen","noce di cocco [coconut]","","Lodoicea maldivica","Sea coconut","1500-1599","Johann Friedrich Gmelin (viaf:3267149296234680670008) ; Christiaan Hendrik Persoon (viaf:73908138)","","","","","","","","","","","","Collezione Ulisse Aldrovandi","Museo di Palazzo Poggi","Bologna","","","",""
"34","","","2","Chimaera monstrosa (Linnaeus, 1758)\n Centrina\n Rabbit fish\n sec. XVI\n 16th century\n Bologna, Collezione Ulisse Aldrovandi, Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","centrina [spiny dogfish]; falso [fake]; mostro [monster]","","Chimaera monstrosa (Linnaeus, 1758)","Rabbit fish (Linnaeus,1758)","1500-1599","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione Ulisse Aldrovandi","Museo di Palazzo Poggi","Bologna","","","",""
"35","","","2","Basilisco\n Basilisk\n Francesco Calceolarin, sec. XVII\n 17th century\n Collezione E. de Betta, Museo di Storia Naturale di Verona","","","Modello","Scultura","Modello","basilisco [basilisk]; mostro [monster]","Basilisco @ita","Basilisco","Basilisk","1600-1699","","Francesco Calzolari (viaf:52741381)","","","","","","","","","","","Collezione E. de Betta","Museo di Storia Naturale di Verona","Verona","","","",""
"36","","","2","Ciclope\n Cyclops\n In Ulisse Aldrovandi, Monstruorum historia\n Bologna, Nicolò Tebaldini, 1642\n BUB, A.iv.h.iii.11/11","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","mostro [monster]; ciclope [cyclops]; monocolo [one-eyed]","Ciclope @ita","Ciclope","Cyclops","1642","","Ulisse Aldrovandi (viaf:100190422)","","","","Nicolò Tebaldini (viaf:203106596)","Bologna","","","Volume A Stampa","Monstruorum historia","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.iii.11/11","","",""
"37","","","2","Tavola [mc10] [am11] con monocolo\n Table with “mono-ocular”\n Model[am12]\n sec. XVIII\n 18th century\n Bologna, Collezione di Ostetricia, Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Modello","Modellazione Cera","Modello","neonato [newborn]; monocolo [one-eyed]; mostro [monster]","Tavola con monocolo @ita","Tavola con monocolo","Table with monocular model","1700-1799","","Tarsizio Riviera (viaf:263904234)","","","","","","","","","","","Collezione di Ostetricia","Museo di Palazzo Poggi","Bologna","","","",""
"38","","","2","Doppia testa di vitello\n Heads of a two-headed calf (Caput geminum vituli)\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di animali, Vol. 1, Carta 89","","","Tavola Manoscritta","Disegno","Tavola Manoscritta","vitello [calf]; mostro [monster]","Doppia testa di vitello @ita","Doppia testa di vitello","Heads of a two-headed calf","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","","","","","","","Volume A Stampa","Tavole di animali","1","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di animali, Vol. 1, Carta 89","","",""
"39","","","2","Bos taurus (Linnaeus, 1758)\n Preparato di giovane bovino con malformazione teratologica\n Taxidermy mount of a young bovine with teratologic malformation\n Ozzano dell'Emilia, Collezione di Anatomia Patologica e Teratologia Veterinaria “Alessandrini - Ercolani”, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","vitello [calf]; mostro [monster]","","Bos taurus (Linnaeus, 1758)","Cattle (Linnaeus, 1758)","","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione di Anatomia Patologica e Teratologia Veterinaria “Alessandrini - Ercolani”","Sistema Museale di Ateneo di Bologna","Ozzano dell'Emilia","","","",""
"40","","","2","Monodon monoceros (Linnaeus, 1758)\n Dente di narvalo\n Narwhal tusk\n sec. XVII\n 17th century\n Bologna, Collezione Cospi, Museo di Palazzo Poggi, Sistema Museale di Ateneo","","","Specimen","Tassidermia","Specimen","dente [tooth]; narvalo [narwhal]","","Monodon monoceros (Linnaeus, 1758)","Narwhal (Linnaeus, 1758)","1600-1699","Carl Von Linné (viaf:34594730)","","","","","","","","","","","","Collezione Cospi","Museo di Palazzo Poggi","Bologna","","","",""
"41","","","2","Orcio per teriaca [am13]\n Vase used for theriac\n 1728\n Bologna, Musei Civici d'Arte Antica, Museo Medievale[am14]","","","Vaso","Pittura Su Vaso","Vaso","vipera [viper]; medicina [medicine]","","Orcio per teriaca","Vase used for theriac","1728","","","","","","","","","","","","","","Museo Civico Medievale di Bologna","Bologna","","","",""
"42","","","2","Cerastes serpens e ammodites\n Vipera cornuta e vipera del corno\n Desert horned viper and vipera ammodytes\n sec. XVI\n 16th century\n BUB, Ms. Aldrovandi, Tavole di animali, Vol. 4, Carta 132","http://hdl.handle.net/20.500.14008/78070","","Tavola Manoscritta","Disegno","Tavola Manoscritta","vipera [viper]","Cerastes serpens e ammodites @lat","Cerastes serpens e ammodites","Desert horned viper and vipera ammodytes","1500-1599","","Ulisse Aldrovandi (viaf:100190422)","","Ulisse Aldrovandi (viaf:100190422)","","","","","","Volume A Stampa","Tavole di animali","4","","Biblioteca Universitaria di Bologna","Bologna","Ms. Aldrovandi, Tavole di animali, Vol. 4, Carta 132","","",""
"43","","","3","Hortus sanitatis\n Venezia, Bernardino Benali e Giovanni Tacuino, 1511\n Bologna, Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Fondo storico Bertoloni[am1]","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","narciso [narcissus]","Hortus sanitatis @lat","Hortus sanitatis","Garden of health","1511","","","","","","","","","","","","","Fondo storico Bertoloni","Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali di Bologna","Bologna","","","",""
