NR,OGGETTO,SALA,STATO_CORRENTE,LINK_MOD,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Licenza,LINK,MODELLAZIONE_Licenza,OGGETTO_ESISTENTE,OTTIMIZZAZIONE_Licenza,PROCESSAMENTO_Licenza
D18,"Cycadeoidea  (già acquisito, da verificare modello 3d)",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D19,"Modello di iguanodon (già acquisito, da verificare modello 3d)",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINE DESIDERATA AGGIUNTIVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,Impronte tetrapode,,,,no entità. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699704,"1637 Nord America, Apatichnis",12,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,25/07/2024,25/07/2024,CNR ISPC,Maria Felicia Rega,Blender,26/07/2024,26/07/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp, 3DF Zephyr",26/07/2024,26/07/2024,CNR ISPC,Maria Felicia Rega,Blender,26/07/2024,26/07/2024,,,,,,,,,,,,,,,,
699780,"1639 Nord America, impronte indet",11,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,24/07/2024,24/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,24/07/2024,24/07/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, Photoshop, 3DF Zephyr",24/07/2024,24/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,24/07/2024,24/07/2024,,,,,,,,,,,,,,,,
699781,"1946 Nord America, impronta indet",2,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,29/07/2024,29/07/2024,CNR ISPC,Maria Felicia Rega,Blender,08/06/2024,08/06/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp",08/06/2024,08/06/2024,CNR ISPC,Maria Felicia Rega,Blender,08/06/2024,08/06/2024,,,,,,,,,,,,,,,,
699703,"1943 Nord America, impronta indet",11,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,12/9/2024,12/9/2024,UNIBO FICLIT,Alice Bordignon,Blender,12/9/2024,12/9/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender, Gimp ",12/9/2024,12/9/2024,UNIBO FICLIT,Alice Bordignon,Blender,12/9/2024,12/9/2024,,,,,,,,,,,,,,,,
699783,"1636 Nord America, Anisopus",11,5 - Esportato,,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,24/7/2024,24/7/2024,UNIBO FICLIT,Francesca Fabbri,Blender,24/7/2024,24/7/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, Gimp, 3DF Zephyr",24/07/2024,24/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,24/07/2024,24/07/2024,,,,,,,,,,,,,,,,
699782,"Nord America Anomopoeus, impronta di dinosauro ornitopode. MA (USA)",12,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,29/07/2024,29/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,31/07/2024,31/07/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",31/07/2024,31/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,31/07/2024,31/07/2024,,,,,,,,,,,,,,,,
699697,"Panthera Spelaea. Leone delle caverne, Grotta di Pocala, Trieste (1810)",12,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,19/07/2024,19/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,25/07/2024,25/07/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender",26/07/2024,26/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,26/07/2024,26/07/2024,,,,,,,,,,,,,,,,
FINE EXTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
