NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
8,Volume Pagina Mappa Di Cusco,V3,Mappa Di Cusco,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20230818-1noow3l38,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 35mm,,Cnr Ispc,Federica Bonifazi,Agisoft Metashape,2023-04-05,2023-04-07,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-27,2023-07-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Blender; Instant Meshes,2023-07-27,2023-07-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-07-27,2023-07-27,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-07-27,2023-07-27,,2023-04-03,2023-04-03,1
9,Volume De Orbo Novo,V3,Pietro Martire Danghiera,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230818-krza6s43x,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 35mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-04-05,2023-04-07,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-17,2023-07-17,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Blender; Instant Meshes,2023-07-17,2023-07-18,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-07-18,2023-07-18,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-07-18,2023-07-18,,2023-04-03,2023-04-03,1
10,Volume Historia Naturae Indie,V3,Jos De Acosta,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230818-6hdd0d91i,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 35mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-04-05,2023-04-07,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-18,2023-07-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Blender; Instant Meshes,2023-07-19,2023-07-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-07-19,2023-07-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-07-19,2023-07-19,,2023-04-03,2023-04-03,1
11,Volume Pagina Tabacco,V3,Tabacco,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230818-v287oms4a,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 35mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-04-05,2023-04-07,,Unibo Ficlit,Alice Bordignon,Blender,2023-06-28,2023-06-28,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Blender; Instant Meshes,2023-07-07,2023-07-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-07-07,2023-07-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-07-07,2023-07-07,,2023-04-03,2023-04-03,1
12,Giaguaro Tassidermizzato,,"Panthera Onca (linnaeus, 1758)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20231031-jqf4h4il9,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-22,2023-06-22,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-22,2023-06-22,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-22,2023-06-22,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-22,2023-06-22,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-08-02,2023-08-02,,2023-04-03,2023-04-03,1
13,3 Quetzal Tassidermizzati,,"Pharomachrus Mocinno (de La Llave, 1832)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20240201-szsapmta4,,,Cnr Ispc,Diego Ronchi,Fotogrammetria,Canon Eos 6d; Lente 24-70 F2.8 L,,Unibo Ficlit,Alice Bordignon,Agisoft Metashape,2024-01-19,2024-01-22,,Unibo Ficlit,Alice Bordignon,Blender,2024-01-24,2024-01-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Metashape; Instant Meshes,2024-01-30,2024-02-01,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-02-01,2024-02-01,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-01,2024-02-01,,2023-04-17,2023-04-17,1
14,Limulo Tassidermizzato,,"Limulus Polyphemus (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231110-0yffexl0n,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Unibo Da,Mattia Sullini,Agisoft Metashape,2024-01-19,2024-01-22,,Unibo Da,Mattia Sullini,Modo; Substance Painter,2024-01-24,2024-01-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Instalod,2024-01-24,2024-01-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Instalod,2024-02-01,2024-02-01,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-08-20,2023-08-20,,2023-05-08,2023-05-08,1
15,Iguana Tassidermizzata,,"Ctenosaura Similis (gray, 1831)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20230818-o5oddag2l,https://sketchfab.com/3d-models/green-iguana-217da036aae14762904ef4630023978b,,,,,,,,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-08-05,2023-08-05,,,,1
16,Ara Tassidermizzata,,"Ara Macao (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231031-2k7jlokwy,https://sketchfab.com/3d-models/cuban-macaw-nhmw-zoo-vs-50796-52348a29605a4136a0e807942d3c12a7,,,,,,,,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-10-24,2023-10-24,,,,1
17,Tucano Tassidermizzato,,"Ramphastos Toco (statius Mller, 1776)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231024-ogj30iwnh,https://sketchfab.com/3d-models/jungle-day-22-of-sculptjanuary2019-a313530e34bc4b5ab152df14775e58aa,,,,,,,,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Ficlit,Alice Bordignon,Blender,2023-07-28,2023-07-28,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-10-20,2023-10-20,,,,1
18,Tacchino Tassidermizzato,,"Meleagris Gallopavo (linneaus, 1758)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20230915-yjvfvo0sa,,Definitivo - Eventualmente Pu Essere Ulteriormente Ottimizzata La Topologia,Cnr Ispc,Daniele Ferdani,Fotogrammetria,Canon Eos 6d; Lente 24-70 F2.8 L,,Cnr Ispc,Daniele Ferdani,3df Zephyr,2023-09-14,2023-09-15,,Cnr Ispc,Daniele Ferdani,Blender,2023-09-16,2023-09-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Daniele Ferdani,Blender,2023-07-28,2023-07-28,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Daniele Ferdani,Blender,2023-09-29,2023-09-29,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Daniele Ferdani,Nextcloud; Aton,2023-09-15,2023-09-15,,2023-05-08,2023-05-08,1
19,Armadillo Tassidermizzato,,"Dasypus Novemcinctus (linnaeus, 1757)",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20231110-7pl4plfbr,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Unibo Da,Mattia Sullini,Agisoft Metashape,2024-01-19,2024-01-19,,Unibo Da,Mattia Sullini,Modo; Substance Painter,2023-04-08,2023-09-11,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Instalod,2023-04-08,2023-09-11,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Instalod,2024-02-01,2024-02-01,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-08-20,2023-08-20,,2023-05-08,2023-05-08,1
20,Codice Mesoamericano,,"Codice Cospi, Manoscritto Divinatorio Mesoamericano",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20230929-78yfjyjch,https://bub.unibo.it/it/bub-digitale/il-codice-cospi/bub_ms4093_cospi?view=ImageView&manifest=https%3A%2F%2Fbub.unibo.it%2Fiiif%2F2%2Fmanifest%2Fbub%2Fmanoscritti%2Fbub_ms4093_cospi.json&canvas=https%3A%2F%2Fbub.unibo.it%2Fiiif%2F2%2Fcanvas%2Fbub%40manoscritti%40bub_ms4093_cospi%4049ed0574103095c4af1add7e9513620fb22744eb-bub_ms4093_000001-recto_piatto_anteriore.jp2.json,Oggetto Modellato Su Riferimenti Reali (dati Bub): https://bub.unibo.it/it/bub-digitale/il-codice-cospi/bub_ms4093_cospi?view=ImageView&manifest=https%3A%2F%2Fbub.unibo.it%2Fiiif%2F2%2Fmanifest%2Fbub%2Fmanoscritti%2Fbub_ms4093_cospi.json&canvas=https%3A%2F%2Fbub.unibo.it%2Fiiif%2F2%2Fcanvas%2Fbub%40manoscritti%40bub_ms4093_cospi%4049ed0574103095c4af1add7e9513620fb22744eb-bub_ms4093_000001-recto_piatto_anteriore.jp2.json,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2023-09-25,2023-09-27,,Unibo Ficlit,Alice Bordignon,Gimp; Blender,2023-09-27,2023-09-29,,Unibo Ficlit,Alice Bordignon,Blender,2023-09-29,2023-09-29,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-09-29,2023-09-29,,,,1
21,Dipinto Aldrovandi,,Ritratto Di Ulisse Aldrovandi,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20231024-t9m50ekpd,,,Cnr Ispc,Federica Bonifazi,Fotogrammetria,Nikon D7200; Nikkor 50mm,,Cnr Ispc,Federica Bonifazi,3df Zephyr,2023-03-28,2023-03-29,,Unibo Ficlit,Alice Bordignon,Blender,2023-06-14,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr,2023-06-14,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-06-16,2023-06-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-06-16,2023-06-16,,2023-03-24,2023-03-24,1
74a,Modello Botanico Brendel/ Brendel Botanical Model,,Linum Usitatissimum L.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250108-ghb4ib8x4,,,Cnr Ispc,Rachele Manganelli,Fotogrammetria,Nikon D3300,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2024-09-20,2024-09-20,,Unibo Ficlit,Francesca Fabbri,Blender,2024-11-25,2024-11-25,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Instant Meshes; Adobe Photoshop 2023; Blender,2024-12-12,2021-12-18,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2025-01-08,2025-01-08,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2025-01-08,2025-01-08,,2023-05-08,2023-05-08,6
74b,Modello Botanico Brendel/ Brendel Botanical Model,,Orchis Morio L.,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250210-3m7p1r47a,,Lo Finisce Rachele,Cnr Ispc,Rachele Manganelli,Fotogrammetria,Nikon D3300,,Cnr Ispc,Rachele Manganelli,Agisoft Metashape,2024-07-10,2024-07-10,,Cnr Ispc,Rachele Manganelli,Cloudcompare; Blender; Meshlab,2024-10-14,2024-10-25,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Instant Meshes; Adobe Photoshop 2023; Blender,2024-10-28,2024-11-04,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Blender,2024-11-04,2024-11-04,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2025-02-10,2025-02-10,,2023-05-08,2023-05-08,6
74c,Modello Botanico Brendel/ Brendel Botanical Model,,Butomus Umbellatus L.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-nrdc7026v,,,Unibo Dbc,Federica Giacomini,Fotogrammetria,Nikon D750,,Unibo Dbc,Federica Giacomini,Agisoft Metashape,2023-04-20,2023-04-20,,,,,,,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2024-02-12,2024-02-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Giacomini,Metashape,2023-05-04,2023-05-04,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-04-17,2023-04-17,6
74d,Modello Botanico Brendel/ Brendel Botanical Model,,Daphne Mezereum L.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20241015-ki6pkkfeh,,,Cnr Ispc,Rachele Manganelli,Fotogrammetria,Nikon D3300,,Cnr Ispc,Rachele Manganelli,Agisoft Metashape,2023-12-05,2023-05-17,,Cnr Ispc,Rachele Manganelli,Cloudcompare; Blender; Meshlab,2024-09-23,2024-09-10,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Instant Meshes; Adobe Photoshop 2023; Blender,2024-11-10,2024-10-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Blender,2024-10-14,2024-10-14,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-10-15,2024-10-15,,2023-05-08,2023-05-08,6
74e,Modello Botanico Brendel/ Brendel Botanical Model,,Primula Veris L.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240628-hilos0oaw,,,Cnr Ispc,Rachele Manganelli,Fotogrammetria,Nikon D3300,,Cnr Ispc,Rachele Manganelli,Agisoft Metashape,2023-10-05,2023-05-14,,Cnr Ispc,Rachele Manganelli,Cloudcompare; Blender; Meshlab,2024-11-03,2024-03-26,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Instant Meshes; Adobe Photoshop 2023; Blender,2024-02-04,2024-04-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Rachele Manganelli,Blender,2024-04-15,2024-04-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,,,,,,,2023-05-08,2023-05-08,6
75,"Volume Aperto, Disegni Anatomia Piante",,Anatome Plantarum,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240502-tqpriwggq,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Cnr Ispc,Maria Felicia Rega,3df Zephyr,2024-04-24,2024-04-24,,Cnr Ispc,Maria Felicia Rega,Blender,2024-04-30,2024-04-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Adobe Photoshop 2023; Blender,2024-04-30,2024-04-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-04-30,2024-04-30,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-04-30,2024-04-30,,2023-05-08,2023-05-08,6
76,"Volume Aperto, Disegni Anatomia Piante",,"Assitra, Overo Arbore Di S. Tomaso",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240430-lzdhzygv8,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Cnr Ispc,Maria Felicia Rega,3df Zephyr,2024-04-30,2024-04-30,,Cnr Ispc,Maria Felicia Rega,Blender,2024-04-30,2024-04-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Adobe Photoshop 2023; Blender,2024-04-30,2024-04-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-04-30,2024-04-30,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-04-30,2024-04-30,,2023-05-08,2023-05-08,6
77,Scheletro Tigre,,Panthera Tigris,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250321-hpv001yuk,https://sketchfab.com/3d-models/mountain-lion-r-996-7fa93e512aad4344ab2d90484e454d56,Oggetto preso da Sketchfab,,,,,,,,,,,,,,,,,,Cnr Ispc,Maria Felicia Rega,Blender,2024-01-21,2024-01-21,,Cnr Ispc,Maria Felicia Rega,Blender ,2024-01-21,2024-01-21,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-01-21,2024-01-21,,,,6
78,"Volume Aperto, Disegni Coralli E Nautilo",,Nautilio Gioiellatoin Jacopo Tosi,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240318-funrtwr5d,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-05-23,2023-05-23,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-18,2024-03-18,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2024-03-18,2024-03-18,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-18,2024-03-18,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-18,2024-03-18,,2023-05-15,2023-05-15,6
79,Lofoforo Tassidermizzato,,Lophophorus Impejanus,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250318-3qzunvgcz,,,Unibo Da,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,Unibo Da,Mattia Sullini,Agisoft Metashape,2023-05-17,2025-03-06,,Unibo Da ,Mattia Sullini,Zbrush; Modo; Substance Painter,2025-03-03,2025-03-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,InstaLOD,2025-03-03,2025-03-08,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Da,Mattia Sullini,Modo; Gestaltor,2025-03-08,2025-03-08,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2025-03-20,2025-03-20,,2023-05-15,2023-05-15,6
81,"Volume Aperto, Coccodrillo",,Coccodrillo Americano,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240319-3cgru00qq,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2024-03-19,2024-03-19,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-19,2024-03-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2024-03-19,2024-03-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-19,2024-03-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-19,2024-03-19,,2023-05-15,2023-05-15,6
